"filename", "language", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_dropdown.scss", "SCSS", 0, 0, 0, 422, 5, 54, 481
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_fixed-plugin.scss", "SCSS", 0, 0, 0, 290, 0, 53, 343
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_footers.scss", "SCSS", 0, 0, 0, 38, 0, 9, 47
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_images.scss", "SCSS", 0, 0, 0, 7, 0, 1, 8
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_inputs.scss", "SCSS", 0, 0, 0, 347, 2, 55, 404
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_mine.scss", "SCSS", 0, 0, 0, 99, 5, 17, 121
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_misc.scss", "SCSS", 0, 0, 0, 134, 4, 15, 153
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_mixins.scss", "SCSS", 0, 0, 0, 7, 1, 1, 9
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_navbar.scss", "SCSS", 0, 0, 0, 256, 0, 55, 311
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_nucleo-outline.scss", "SCSS", 0, 0, 0, 442, 29, 103, 574
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_page-header.scss", "SCSS", 0, 0, 0, 73, 0, 13, 86
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_responsive.scss", "SCSS", 0, 0, 0, 474, 0, 80, 554
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_sidebar-and-main-panel.scss", "SCSS", 0, 0, 0, 317, 3, 50, 370
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_tables.scss", "SCSS", 0, 0, 0, 150, 0, 24, 174
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_typography.scss", "SCSS", 0, 0, 0, 168, 5, 21, 194
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/_variables.scss", "SCSS", 0, 0, 0, 275, 19, 103, 397
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/cards/_card-chart.scss", "SCSS", 0, 0, 0, 41, 0, 8, 49
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/cards/_card-map.scss", "SCSS", 0, 0, 0, 3, 0, 1, 4
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/cards/_card-plain.scss", "SCSS", 0, 0, 0, 14, 0, 4, 18
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/cards/_card-stats.scss", "SCSS", 0, 0, 0, 39, 0, 10, 49
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/cards/_card-user.scss", "SCSS", 0, 0, 0, 41, 0, 10, 51
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_buttons.scss", "SCSS", 0, 0, 0, 179, 2, 29, 210
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_cards.scss", "SCSS", 0, 0, 0, 4, 0, 1, 5
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_dropdown.scss", "SCSS", 0, 0, 0, 19, 0, 6, 25
"/home/emad/Documents/projects/Artiman/paper-dashboard-react-master/src/assets/scss/paper-dashboard/mixins/_inputs.scss", "SCSS", 0, 0, 0, 187, 6, 40, 233
